STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,DNS,DNSV
ABAB,ABB-036,1371.6,,-63.724,51.408,2.147,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1371.7524,,-63.608,51.408,2.094,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1371.9048,,-63.58,51.408,2.04,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1372.0572,,-63.551,51.408,1.986,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1372.2096,,-63.523,51.408,1.941,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1372.362,,-63.4996,51.408,1.895,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1372.5144,,-63.415,51.408,1.85,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1372.6668,,-63.3293,51.408,1.804,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1372.8192,,-63.2446,51.408,1.772,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1372.9716,,-63.1599,51.408,1.739,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1373.124,,-63.0753,51.408,1.707,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1373.2764,,-63.0126,51.408,1.674,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1373.4288,,-62.9509,51.408,1.639,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1373.5812,,-62.8883,51.408,1.604,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1373.7336,,-62.8256,51.408,1.568,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1373.886,,-62.7689,51.408,1.533,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1374.0384,,-62.7113,51.408,1.498,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
ABAB,ABB-036,1374.1908,,-62.6536,51.408,1.485,0.3126,2.221,GUF,91.49787234042552,0.2378666666666666,0.2378666666666666,2.149527641707488,0.3009272218334499,0.2424675532288219,0.2647675532288219,0.22864,0.25094,2.685878437400939,-0.02663508771929829,0.03964764132553583
