STRUKTUR,WELL_NAME,DEPTH,CALI,SP,GR,RT,NPHI,RHOB,MARKER,GR_NORM,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,CT,FTEMP
ABAB,ABB-041,1373.124,,-37.1357,44.776,1.837,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9842548481948353,0.9623593161126283,0.9418919565274025,0.9227063419127842,-0.004637619485232946,0.5443658138268916,143.6562
ABAB,ABB-041,1373.2764,,-37.3547,44.776,1.796,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966469781177489,0.974475773247349,0.9537507220900429,0.9343235535431362,-0.003940586787411826,0.5567928730512249,143.66382
ABAB,ABB-041,1373.4288,,-37.5748,44.776,1.736,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9930175930422875,0.9718981963564938,0.9521013777185209,-0.002873917336888747,0.5760368663594471,143.67144000000002
ABAB,ABB-041,1373.5812,,-37.7939,44.776,1.676,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9910488440805546,0.9708619414798639,-0.0017482835112081641,0.5966587112171838,143.67906
ABAB,ABB-041,1373.7336,,-38.013,44.776,1.617,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9903573303073845,-0.0005785601815569308,0.6184291898577613,143.68668000000002
ABAB,ABB-041,1373.886,,-38.233,44.776,1.557,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6422607578676943,143.6943
ABAB,ABB-041,1374.0384,,-38.1251,44.776,1.497,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.668002672010688,143.70192
ABAB,ABB-041,1374.1908,,-38.0172,44.776,1.475,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6779661016949152,143.70954
ABAB,ABB-041,1374.3432,,-37.9092,44.776,1.452,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6887052341597797,143.71716
ABAB,ABB-041,1374.4956,,-37.8013,44.776,1.43,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6993006993006994,143.72478
ABAB,ABB-041,1374.648,,-37.6944,44.776,1.408,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7102272727272728,143.73239999999998
ABAB,ABB-041,1374.8004,,-37.3965,44.776,1.386,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7215007215007215,143.74002000000002
ABAB,ABB-041,1374.9528,,-37.0995,44.776,1.398,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.715307582260372,143.74764
ABAB,ABB-041,1375.1052,,-36.8026,44.776,1.411,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7087172218284904,143.75526000000002
ABAB,ABB-041,1375.2576,,-36.6607,44.776,1.423,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7027406886858749,143.76288
ABAB,ABB-041,1375.41,,-36.5188,44.776,1.436,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6963788300835655,143.77050000000003
ABAB,ABB-041,1375.5624,,-36.3768,44.776,1.448,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6906077348066298,143.77812
ABAB,ABB-041,1375.7148,,-36.5859,44.776,1.461,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6844626967830253,143.78574
ABAB,ABB-041,1375.8672,,-36.795,44.776,1.464,0.3732,2.1,GUF,84.44255319148937,0.1641777777777778,0.1641777777777778,2.0312506646814845,0.3777570987982558,0.3263269984406003,0.3417186651072669,0.2507466666666667,0.2661383333333333,2.6917572177117504,1,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6830601092896175,143.79336
