DEPTH,STRUKTUR,WELL_NAME,CALI,SP,GR,RT,NPHI,RHOB,MARKER,VSH_GR,VSH,RHOB_SR,NPHI_SR,PHIE_DEN,PHIT_DEN,PHIE,PHIT,RHO_MAT,IQUAL,RGBE,R_RGBE,RPBE,R_RPBE,VSH_DN,VSH_DIFF,RW_TEMP,SW,RWA_FULL,RWA_SIMPLE,RWA_TAR,DNS,DNSV,NOD,SWARRAY_1,SWARRAY_2,SWARRAY_3,SWARRAY_4,SWARRAY_5,SWARRAY_6,SWARRAY_7,SWARRAY_8,SWARRAY_9,SWARRAY_10,SWARRAY_11,SWARRAY_12,SWARRAY_13,SWARRAY_14,SWARRAY_15,SWARRAY_16,SWARRAY_17,SWARRAY_18,SWARRAY_19,SWARRAY_20,SWARRAY_21,SWARRAY_22,SWARRAY_23,SWARRAY_24,SWARRAY_25,SWGRAD,CT,FTEMP,A_PARAM,M_PARAM,N_PARAM,RTSH,RGSA,GAS_EFFECT_RT,RT_RATIO,RT_DIFF,NGSA,GAS_EFFECT_NPHI,NPHI_DIFF,DGSA,GAS_EFFECT_RHOB,DENS_DIFF,RGSA_ANOM,NGSA_ANOM,DGSA_ANOM,SCORE,ZONA
1629.156,ABAB,ABB-138,8.8861,-1.0764,136.18,5.7956,0.2042,2.5096,A,1.0,1.0,inf,-0.015,,,,,,0,,,,,0.3954116078126301,0.6045883921873699,1.2951379310344828,,,,,-0.0870070175438595,0.1916479532163744,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1725446890744703,156.45780000000002,1,1.8,1.8,1,4.853902862574427,True,1.1940082371005905,0.9416971374255736,0.2577901846461169,True,0.05359018464611692,2.5634626730947523,True,0.053862673094752456,True,True,True,3,Zona Prospek Kuat
1629.3084,ABAB,ABB-138,8.8735,-1.2153,142.857,4.9526,0.2253,2.5279,A,1.0,1.0,inf,-0.015,,,,,,0,,,,,0.4701421109660209,0.5298578890339791,1.2951379310344828,,,,,-0.1188087719298244,0.1598461988304094,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2019141461050761,156.46542,1,1.8,1.8,1,4.243436529238463,True,1.167120084364454,0.7091634707615375,0.27629659505931026,True,0.05099659505931026,2.585116257709215,True,0.057216257709215235,True,True,True,3,Zona Prospek Kuat
1629.4608,ABAB,ABB-138,8.8861,-0.9141,159.8497,3.9168,0.2588,2.5379,A,1.0,1.0,inf,-0.015,,,,,,0,,,,,0.5657613980496209,0.4342386019503791,1.2951379310344828,,,,,-0.1581567251461988,0.1204982456140351,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2553104575163399,156.47304000000003,1,1.8,1.8,1,2.945703890135313,True,1.3296652162210638,0.9710961098646869,0.31403900822430786,True,0.055239008224307884,2.5846290663802858,True,0.04672906638028573,True,True,True,3,Zona Prospek Kuat
1629.6132,ABAB,ABB-138,8.8354,-2.2777,168.1434,3.2848,0.2933,2.5381,A,1.0,1.0,inf,-0.015,,,,,,0,,,,,0.6520302558830885,0.3479697441169115,1.2951379310344828,,,,,-0.1927736842105263,0.0858812865497076,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3044325377496347,156.48066,1,1.8,1.8,1,2.667420723128911,True,1.2314517809349914,0.6173792768710893,0.32535418936347194,True,0.03205418936347193,2.5611702401936336,True,0.023070240193633573,True,True,True,3,Zona Prospek Kuat
1629.7656,ABAB,ABB-138,8.8354,-2.1806,177.3832,2.8968,0.2957,2.5438,A,1.0,1.0,inf,-0.015,,,,,,0,,,,,0.6649035923651819,0.335096407634818,1.2951379310344828,,,,,-0.1985070175438597,0.0801479532163742,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3452085059375863,156.48828,1,1.8,1.8,1,2.7383885935823136,True,1.057848402812128,0.15841140641768625,0.33061192617241564,True,0.03491192617241562,2.5219090987005295,False,-0.021890901299470578,True,True,False,2,Zona Menarik
1630.3752,ABAB,ABB-138,8.8354,-0.0625,174.8458,3.5124,0.3326,2.5552,A,1.0,1.0,inf,-0.015,,,,,,0,,,,,0.7706929125107661,0.2293070874892339,1.2951379310344828,,,,,-0.2420736842105264,0.0365812865497075,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2847056143947158,156.51876,1,1.8,1.8,1,2.670694594231553,True,1.3151634812855244,0.841705405768447,0.3300242068188459,False,-0.0025757931811540846,2.5338493875323262,False,-0.02135061246767389,True,False,False,1,Zona Lemah
1630.5276,ABAB,ABB-138,8.7974,-1.243,168.706,3.3252,0.3225,2.5469,A,1.0,1.0,inf,-0.015,,,,,,0,,,,,0.735477037201678,0.264522962798322,1.2951379310344828,,,,,-0.2271198830409356,0.0515350877192982,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3007337904486948,156.52638000000002,1,1.8,1.8,1,2.6591376244689786,True,1.2504805954389187,0.6660623755310215,0.3259101218616971,True,0.0034101218616970908,2.559138023201684,True,0.0122380232016841,True,True,True,3,Zona Prospek Kuat
1630.68,ABAB,ABB-138,8.8101,-0.5139,167.1825,3.0622,0.3304,2.5088,A,1.0,1.0,inf,-0.015,,,,,,0,,,,,0.7091295529686327,0.2908704470313673,1.2951379310344828,,,,,-0.2127391812865497,0.0659157894736842,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3265626020508131,156.534,1,1.8,1.8,1,2.6848733194663295,True,1.1405379828530127,0.37732668053367036,0.3243389307654694,False,-0.006061069234530647,2.5645208860688085,True,0.05572088606880854,True,False,True,2,Zona Menarik
1630.8324,ABAB,ABB-138,8.8354,-1.1597,173.4496,3.5644,0.3895,2.3831,A,1.0,1.0,-inf,1.0,,,,,,0,,,,,0.7045807518128527,0.2954192481871472,1.2951379310344828,,,,,-0.1983304093567253,0.0803245614035086,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2805521265851195,156.54162000000002,1,1.8,1.8,1,2.6504124899683217,True,1.3448472694311076,0.9139875100316783,0.32941465005657067,False,-0.060085349943429345,2.5400704456702163,True,0.15697044567021612,True,False,True,2,Zona Menarik
1630.9848,ABAB,ABB-138,8.8354,-1.2292,178.6649,7.4541,0.4302,2.2017,A,1.0,1.0,-inf,1.0,,,,,,0,,,,,0.5868335509682441,0.4131664490317559,1.2951379310344828,,,,,-0.1329485380116961,0.1457064327485379,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1341543580043197,156.54924,1,1.8,1.8,1,2.7894400671573125,True,2.6722567327271496,4.664659932842688,0.33064526214631007,False,-0.09955473785368996,2.5155886297870307,True,0.31388862978703047,True,False,True,2,Zona Menarik
